0.005,236.5
0.01,93.3
0.015,93.1
0.02,94.3
0.025,87.9
0.03,93.8
0.035,93.0
0.04,85.7
0.045,84.5
0.05,81.3
0.055,87.2
0.06,87.4
0.065,84.4
0.07,78.8
0.075,83.1
0.08,80.1
0.085,82.0
0.09,84.8
0.095,97.3
0.1,82.9
0.105,94.0
0.11,88.9
0.115,78.7
0.12,84.6
0.125,83.1
0.13,79.0
0.135,80.8
0.14,79.2
0.145,78.0
0.15,85.7
0.155,92.0
0.16,81.5
0.165,83.0
0.17,77.9
0.175,81.1
0.18,79.0
0.185,85.3
0.19,86.6
0.195,77.9
0.2,82.6
0.205,82.1
0.21,78.7
0.215,82.6
0.22,78.1
0.225,79.1
0.23,79.8
0.235,76.7
0.24,82.0
0.245,83.1
0.25,77.7
